,Gamma,OI,underlyingClose,Strike,direction
0,1.7290830564957734e-304,0,463,427.0,1
1,1.7290830564957734e-304,0,464,427.0,1
2,1.7290830564957734e-304,0,465,427.0,1
0,5.147822355676e-311,0,463,428.0,1
1,5.147822355676e-311,0,464,428.0,1
2,5.147822355676e-311,0,465,428.0,1
0,3.29515e-318,0,463,429.0,1
1,3.29515e-318,0,464,429.0,1
2,3.29515e-318,0,465,429.0,1
0,1.1569280903091777e-299,0,463,430.0,1
1,1.1569280903091777e-299,0,464,430.0,1
2,1.1569280903091777e-299,0,465,430.0,1
0,1.2506456947754062e-306,0,463,431.0,1
1,1.2506456947754062e-306,0,464,431.0,1
2,1.2506456947754062e-306,0,465,431.0,1
0,2.2774585197e-314,0,463,432.0,1
1,2.2774585197e-314,0,464,432.0,1
2,2.2774585197e-314,0,465,432.0,1
0,1.9982579516072894e-294,0,463,433.0,1
1,1.9982579516072894e-294,0,464,433.0,1
2,1.9982579516072894e-294,0,465,433.0,1
0,6.888608621798045e-302,0,463,434.0,1
1,6.888608621798045e-302,0,464,434.0,1
2,6.888608621798045e-302,0,465,434.0,1
0,1.5688605931087154e-281,0,463,435.0,1
1,1.5688605931087154e-281,0,464,435.0,1
2,1.5688605931087154e-281,0,465,435.0,1
0,1.1955030255468963e-288,0,463,436.0,1
1,1.1955030255468963e-288,0,464,436.0,1
2,1.1955030255468963e-288,0,465,436.0,1
0,1.1292135657671933e-296,0,463,437.0,1
1,1.1292135657671933e-296,0,464,437.0,1
2,1.1292135657671933e-296,0,465,437.0,1
0,1.45993602954815e-274,0,463,438.0,1
1,1.45993602954815e-274,0,464,438.0,1
2,1.45993602954815e-274,0,465,438.0,1
0,3.7650513579922556e-282,0,463,439.0,1
1,3.7650513579922556e-282,0,464,439.0,1
2,3.7650513579922556e-282,0,465,439.0,1
0,1.579692135565042e-259,5,463,440.0,1
1,1.579692135565042e-259,5,464,440.0,1
2,1.579692135565042e-259,5,465,440.0,1
0,1.437824682888442e-266,0,463,441.0,1
1,1.437824682888442e-266,0,464,441.0,1
2,1.437824682888442e-266,0,465,441.0,1
0,1.156809722339939e-274,0,463,442.0,1
1,1.156809722339939e-274,0,464,442.0,1
2,1.156809722339939e-274,0,465,442.0,1
0,8.621607366559719e-250,0,463,443.0,1
1,8.621607366559719e-250,0,464,443.0,1
2,8.621607366559719e-250,0,465,443.0,1
0,3.7111022980509706e-257,0,463,444.0,1
1,3.7111022980509706e-257,0,464,444.0,1
2,3.7111022980509706e-257,0,465,444.0,1
0,1.1593252473504121e-231,0,463,445.0,1
1,1.1593252473504121e-231,0,464,445.0,1
2,1.1593252473504121e-231,0,465,445.0,1
0,4.219849862044611e-238,0,463,446.0,1
1,4.219849862044611e-238,0,464,446.0,1
2,4.219849862044611e-238,0,465,446.0,1
0,1.0381285653376354e-245,5,463,447.0,1
1,1.0381285653376354e-245,5,464,447.0,1
2,1.0381285653376354e-245,5,465,447.0,1
0,2.8219531619385416e-217,101,463,448.0,1
1,2.8219531619385416e-217,101,464,448.0,1
2,2.8219531619385416e-217,101,465,448.0,1
0,1.4287493917949481e-223,100,463,449.0,1
1,1.4287493917949481e-223,100,464,449.0,1
2,1.4287493917949481e-223,100,465,449.0,1
0,1.9360058026726838e-194,109,463,450.0,1
1,1.9360058026726838e-194,109,464,450.0,1
2,1.9360058026726838e-194,109,465,450.0,1
0,4.909812355610572e-199,299,463,451.0,1
1,4.909812355610572e-199,299,464,451.0,1
2,4.909812355610572e-199,299,465,451.0,1
0,2.410554184106257e-169,2,463,452.0,1
1,2.410554184106257e-169,2,464,452.0,1
2,2.410554184106257e-169,2,465,452.0,1
0,3.896812856370963e-88,7,463,453.0,1
1,3.896812856370963e-88,7,464,453.0,1
2,3.896812856370963e-88,7,465,453.0,1
0,8.875155398453115e-142,18,463,454.0,1
1,8.875155398453115e-142,18,464,454.0,1
2,8.875155398453115e-142,18,465,454.0,1
0,1.9420491034179043e-141,15,463,455.0,1
1,1.9420491034179043e-141,15,464,455.0,1
2,1.9420491034179043e-141,15,465,455.0,1
0,1.1436607840244202e-111,268,463,456.0,1
1,1.1436607840244202e-111,268,464,456.0,1
2,1.1436607840244202e-111,268,465,456.0,1
0,1.7455900692978212e-85,149,463,457.0,1
1,1.7455900692978212e-85,149,464,457.0,1
2,1.7455900692978212e-85,149,465,457.0,1
0,7.287217014636525e-63,156,463,458.0,1
1,7.287217014636525e-63,156,464,458.0,1
2,7.287217014636525e-63,156,465,458.0,1
0,8.776787033056294e-44,46,463,459.0,1
1,8.776787033056294e-44,46,464,459.0,1
2,8.776787033056294e-44,46,465,459.0,1
0,3.2155798376617405e-28,386,463,460.0,1
1,3.2155798376617405e-28,386,464,460.0,1
2,3.2155798376617405e-28,386,465,460.0,1
0,3.776988364895442e-16,277,463,461.0,1
1,3.776988364895442e-16,277,464,461.0,1
2,3.776988364895442e-16,277,465,461.0,1
0,1.4983953440029618e-07,303,463,462.0,1
1,1.4983953440029618e-07,303,464,462.0,1
2,1.4983953440029618e-07,303,465,462.0,1
0,0.008294469754525127,89,463,463.0,1
1,0.008294469754525127,89,464,463.0,1
2,0.008294469754525127,89,465,463.0,1
0,1.2564534742889075,56,463,464.0,1
1,1.2564534742889075,56,464,464.0,1
2,1.2564534742889075,56,465,464.0,1
0,0.009345129277081915,118,463,465.0,1
1,0.009345129277081915,118,464,465.0,1
2,0.009345129277081915,118,465,465.0,1
0,2.0039924130013336e-07,46,463,466.0,1
1,2.0039924130013336e-07,46,464,466.0,1
2,2.0039924130013336e-07,46,465,466.0,1
0,7.526907923115994e-16,88,463,467.0,1
1,7.526907923115994e-16,88,464,467.0,1
2,7.526907923115994e-16,88,465,467.0,1
0,1.2942580000470164e-27,121,463,468.0,1
1,1.2942580000470164e-27,121,464,468.0,1
2,1.2942580000470164e-27,121,465,468.0,1
0,1.0703423507697226e-42,14,463,469.0,1
1,1.0703423507697226e-42,14,464,469.0,1
2,1.0703423507697226e-42,14,465,469.0,1
0,4.470630108895759e-61,272,463,470.0,1
1,4.470630108895759e-61,272,464,470.0,1
2,4.470630108895759e-61,272,465,470.0,1
0,9.900106124873709e-83,34,463,471.0,1
1,9.900106124873709e-83,34,464,471.0,1
2,9.900106124873709e-83,34,465,471.0,1
0,1.2196995704357295e-107,16,463,472.0,1
1,1.2196995704357295e-107,16,464,472.0,1
2,1.2196995704357295e-107,16,465,472.0,1
0,8.769243489021974e-136,3,463,473.0,1
1,8.769243489021974e-136,3,464,473.0,1
2,8.769243489021974e-136,3,465,473.0,1
0,3.857989256640857e-167,22,463,474.0,1
1,3.857989256640857e-167,22,464,474.0,1
2,3.857989256640857e-167,22,465,474.0,1
0,1.0886380746401033e-201,21,463,475.0,1
1,1.0886380746401033e-201,21,464,475.0,1
2,1.0886380746401033e-201,21,465,475.0,1
0,2.064456653598116e-239,16,463,476.0,1
1,2.064456653598116e-239,16,464,476.0,1
2,2.064456653598116e-239,16,465,476.0,1
0,2.7557988888883353e-280,0,463,477.0,1
1,2.7557988888883353e-280,0,464,477.0,1
2,2.7557988888883353e-280,0,465,477.0,1
0,0.0,0,463,478.0,1
1,0.0,0,464,478.0,1
2,0.0,0,465,478.0,1
0,5.111331284109739e-301,2,463,479.0,1
1,5.111331284109739e-301,2,464,479.0,1
2,5.111331284109739e-301,2,465,479.0,1
0,0.0,490,463,480.0,1
1,0.0,490,464,480.0,1
2,0.0,490,465,480.0,1
0,0.0,0,463,481.0,1
1,0.0,0,464,481.0,1
2,0.0,0,465,481.0,1
0,0.0,0,463,482.0,1
1,0.0,0,464,482.0,1
2,0.0,0,465,482.0,1
0,0.0,1,463,483.0,1
1,0.0,1,464,483.0,1
2,0.0,1,465,483.0,1
0,0.0,0,463,484.0,1
1,0.0,0,464,484.0,1
2,0.0,0,465,484.0,1
0,0.0,0,463,485.0,1
1,0.0,0,464,485.0,1
2,0.0,0,465,485.0,1
0,0.0,0,463,486.0,1
1,0.0,0,464,486.0,1
2,0.0,0,465,486.0,1
0,0.0,0,463,487.0,1
1,0.0,0,464,487.0,1
2,0.0,0,465,487.0,1
0,0.0,0,463,488.0,1
1,0.0,0,464,488.0,1
2,0.0,0,465,488.0,1
0,0.0,0,463,489.0,1
1,0.0,0,464,489.0,1
2,0.0,0,465,489.0,1
0,0.0,2,463,490.0,1
1,0.0,2,464,490.0,1
2,0.0,2,465,490.0,1
0,0.0,0,463,491.0,1
1,0.0,0,464,491.0,1
2,0.0,0,465,491.0,1
0,0.0,0,463,492.0,1
1,0.0,0,464,492.0,1
2,0.0,0,465,492.0,1
0,0.0,0,463,493.0,1
1,0.0,0,464,493.0,1
2,0.0,0,465,493.0,1
0,0.0,0,463,494.0,1
1,0.0,0,464,494.0,1
2,0.0,0,465,494.0,1
0,0.0,0,463,495.0,1
1,0.0,0,464,495.0,1
2,0.0,0,465,495.0,1
0,0.0,0,463,496.0,1
1,0.0,0,464,496.0,1
2,0.0,0,465,496.0,1
0,0.0,0,463,497.0,1
1,0.0,0,464,497.0,1
2,0.0,0,465,497.0,1
0,0.0,0,463,498.0,1
1,0.0,0,464,498.0,1
2,0.0,0,465,498.0,1
0,0.0,0,463,499.0,1
1,0.0,0,464,499.0,1
2,0.0,0,465,499.0,1
0,0.0,296,463,500.0,1
1,0.0,296,464,500.0,1
2,0.0,296,465,500.0,1
0,0.0,0,463,505.0,1
1,0.0,0,464,505.0,1
2,0.0,0,465,505.0,1
0,0.0,0,463,510.0,1
1,0.0,0,464,510.0,1
2,0.0,0,465,510.0,1
0,0.0,0,463,515.0,1
1,0.0,0,464,515.0,1
2,0.0,0,465,515.0,1
0,0.0,0,463,520.0,1
1,0.0,0,464,520.0,1
2,0.0,0,465,520.0,1
0,0.0,0,463,525.0,1
1,0.0,0,464,525.0,1
2,0.0,0,465,525.0,1
0,0.0,0,463,285.0,1
1,0.0,0,464,285.0,1
2,0.0,0,465,285.0,1
0,,1,463,290.0,1
1,,1,464,290.0,1
2,,1,465,290.0,1
0,0.0,0,463,295.0,1
1,0.0,0,464,295.0,1
2,0.0,0,465,295.0,1
0,0.0,2,463,300.0,1
1,0.0,2,464,300.0,1
2,0.0,2,465,300.0,1
0,0.0,2,463,305.0,1
1,0.0,2,464,305.0,1
2,0.0,2,465,305.0,1
0,0.0,1,463,310.0,1
1,0.0,1,464,310.0,1
2,0.0,1,465,310.0,1
0,0.0,2,463,315.0,1
1,0.0,2,464,315.0,1
2,0.0,2,465,315.0,1
0,0.0,4,463,320.0,1
1,0.0,4,464,320.0,1
2,0.0,4,465,320.0,1
0,0.0,1,463,325.0,1
1,0.0,1,464,325.0,1
2,0.0,1,465,325.0,1
0,0.0,3,463,330.0,1
1,0.0,3,464,330.0,1
2,0.0,3,465,330.0,1
0,0.0,4,463,335.0,1
1,0.0,4,464,335.0,1
2,0.0,4,465,335.0,1
0,0.0,3,463,340.0,1
1,0.0,3,464,340.0,1
2,0.0,3,465,340.0,1
0,0.0,2,463,345.0,1
1,0.0,2,464,345.0,1
2,0.0,2,465,345.0,1
0,0.0,1,463,350.0,1
1,0.0,1,464,350.0,1
2,0.0,1,465,350.0,1
0,0.0,1,463,355.0,1
1,0.0,1,464,355.0,1
2,0.0,1,465,355.0,1
0,0.0,7,463,360.0,1
1,0.0,7,464,360.0,1
2,0.0,7,465,360.0,1
0,0.0,7,463,365.0,1
1,0.0,7,464,365.0,1
2,0.0,7,465,365.0,1
0,0.0,2,463,370.0,1
1,0.0,2,464,370.0,1
2,0.0,2,465,370.0,1
0,0.0,2,463,375.0,1
1,0.0,2,464,375.0,1
2,0.0,2,465,375.0,1
0,0.0,5,463,380.0,1
1,0.0,5,464,380.0,1
2,0.0,5,465,380.0,1
0,0.0,56,463,385.0,1
1,0.0,56,464,385.0,1
2,0.0,56,465,385.0,1
0,0.0,107,463,390.0,1
1,0.0,107,464,390.0,1
2,0.0,107,465,390.0,1
0,0.0,0,463,391.0,1
1,0.0,0,464,391.0,1
2,0.0,0,465,391.0,1
0,0.0,0,463,392.0,1
1,0.0,0,464,392.0,1
2,0.0,0,465,392.0,1
0,0.0,0,463,393.0,1
1,0.0,0,464,393.0,1
2,0.0,0,465,393.0,1
0,0.0,0,463,394.0,1
1,0.0,0,464,394.0,1
2,0.0,0,465,394.0,1
0,0.0,10,463,395.0,1
1,0.0,10,464,395.0,1
2,0.0,10,465,395.0,1
0,0.0,0,463,396.0,1
1,0.0,0,464,396.0,1
2,0.0,0,465,396.0,1
0,0.0,0,463,397.0,1
1,0.0,0,464,397.0,1
2,0.0,0,465,397.0,1
0,0.0,0,463,398.0,1
1,0.0,0,464,398.0,1
2,0.0,0,465,398.0,1
0,0.0,0,463,399.0,1
1,0.0,0,464,399.0,1
2,0.0,0,465,399.0,1
0,0.0,173,463,400.0,1
1,0.0,173,464,400.0,1
2,0.0,173,465,400.0,1
0,0.0,0,463,401.0,1
1,0.0,0,464,401.0,1
2,0.0,0,465,401.0,1
0,0.0,0,463,402.0,1
1,0.0,0,464,402.0,1
2,0.0,0,465,402.0,1
0,0.0,0,463,403.0,1
1,0.0,0,464,403.0,1
2,0.0,0,465,403.0,1
0,0.0,0,463,404.0,1
1,0.0,0,464,404.0,1
2,0.0,0,465,404.0,1
0,,33,463,405.0,1
1,,33,464,405.0,1
2,,33,465,405.0,1
0,6.516000096481386e-291,1,463,406.0,1
1,6.516000096481386e-291,1,464,406.0,1
2,6.516000096481386e-291,1,465,406.0,1
0,2.415697862423442e-280,1,463,407.0,1
1,2.415697862423442e-280,1,464,407.0,1
2,2.415697862423442e-280,1,465,407.0,1
0,0.0,0,463,408.0,1
1,0.0,0,464,408.0,1
2,0.0,0,465,408.0,1
0,0.0,128,463,409.0,1
1,0.0,128,464,409.0,1
2,0.0,128,465,409.0,1
0,0.0,8,463,410.0,1
1,0.0,8,464,410.0,1
2,0.0,8,465,410.0,1
0,0.0,62,463,411.0,1
1,0.0,62,464,411.0,1
2,0.0,62,465,411.0,1
0,0.0,21,463,412.0,1
1,0.0,21,464,412.0,1
2,0.0,21,465,412.0,1
0,0.0,77,463,413.0,1
1,0.0,77,464,413.0,1
2,0.0,77,465,413.0,1
0,0.0,5,463,414.0,1
1,0.0,5,464,414.0,1
2,0.0,5,465,414.0,1
0,2.556531e-317,55,463,415.0,1
1,2.556531e-317,55,464,415.0,1
2,2.556531e-317,55,465,415.0,1
0,,31,463,416.0,1
1,,31,464,416.0,1
2,,31,465,416.0,1
0,0.0,316,463,417.0,1
1,0.0,316,464,417.0,1
2,0.0,316,465,417.0,1
0,0.0,245,463,418.0,1
1,0.0,245,464,418.0,1
2,0.0,245,465,418.0,1
0,0.0,771,463,419.0,1
1,0.0,771,464,419.0,1
2,0.0,771,465,419.0,1
0,6.749542176737611e-308,1097,463,420.0,1
1,6.749542176737611e-308,1097,464,420.0,1
2,6.749542176737611e-308,1097,465,420.0,1
0,0.0,609,463,421.0,1
1,0.0,609,464,421.0,1
2,0.0,609,465,421.0,1
0,3.9019088911024763e-261,763,463,422.0,1
1,3.9019088911024763e-261,763,464,422.0,1
2,3.9019088911024763e-261,763,465,422.0,1
0,1.1892071922488017e-265,39,463,423.0,1
1,1.1892071922488017e-265,39,464,423.0,1
2,1.1892071922488017e-265,39,465,423.0,1
0,,275,463,424.0,1
1,,275,464,424.0,1
2,,275,465,424.0,1
0,1.29e-321,345,463,425.0,1
1,1.29e-321,345,464,425.0,1
2,1.29e-321,345,465,425.0,1
0,,239,463,426.0,1
1,,239,464,426.0,1
2,,239,465,426.0,1
0,2.433885404146758e-247,480,463,427.0,1
1,2.433885404146758e-247,480,464,427.0,1
2,2.433885404146758e-247,480,465,427.0,1
0,6.856818819347863e-252,765,463,428.0,1
1,6.856818819347863e-252,765,464,428.0,1
2,6.856818819347863e-252,765,465,428.0,1
0,,1344,463,429.0,1
1,,1344,464,429.0,1
2,,1344,465,429.0,1
0,,4410,463,430.0,1
1,,4410,464,430.0,1
2,,4410,465,430.0,1
0,2.497444879050362e-293,308,463,431.0,1
1,2.497444879050362e-293,308,464,431.0,1
2,2.497444879050362e-293,308,465,431.0,1
0,5.673875876504458e-302,961,463,432.0,1
1,5.673875876504458e-302,961,464,432.0,1
2,5.673875876504458e-302,961,465,432.0,1
0,,681,463,433.0,1
1,,681,464,433.0,1
2,,681,465,433.0,1
0,1.3800430806312463e-220,1242,463,434.0,1
1,1.3800430806312463e-220,1242,464,434.0,1
2,1.3800430806312463e-220,1242,465,434.0,1
0,9.688191218621579e-225,4385,463,435.0,1
1,9.688191218621579e-225,4385,464,435.0,1
2,9.688191218621579e-225,4385,465,435.0,1
0,6.398258930943336e-280,927,463,436.0,1
1,6.398258930943336e-280,927,464,436.0,1
2,6.398258930943336e-280,927,465,436.0,1
0,6.99597596046238e-213,745,463,437.0,1
1,6.99597596046238e-213,745,464,437.0,1
2,6.99597596046238e-213,745,465,437.0,1
0,,560,463,438.0,1
1,,560,464,438.0,1
2,,560,465,438.0,1
0,7.204194260709548e-222,2715,463,439.0,1
1,7.204194260709548e-222,2715,464,439.0,1
2,7.204194260709548e-222,2715,465,439.0,1
0,,1817,463,440.0,1
1,,1817,464,440.0,1
2,,1817,465,440.0,1
0,1.7395038428489456e-299,828,463,441.0,1
1,1.7395038428489456e-299,828,464,441.0,1
2,1.7395038428489456e-299,828,465,441.0,1
0,,743,463,442.0,1
1,,743,464,442.0,1
2,,743,465,442.0,1
0,2.372148198553946e-285,1095,463,443.0,1
1,2.372148198553946e-285,1095,464,443.0,1
2,2.372148198553946e-285,1095,465,443.0,1
0,1.967532145281756e-299,1055,463,444.0,1
1,1.967532145281756e-299,1055,464,444.0,1
2,1.967532145281756e-299,1055,465,444.0,1
0,7.056483919947685e-203,4548,463,445.0,1
1,7.056483919947685e-203,4548,464,445.0,1
2,7.056483919947685e-203,4548,465,445.0,1
0,0.0,1878,463,446.0,1
1,0.0,1878,464,446.0,1
2,0.0,1878,465,446.0,1
0,2.454266503036949e-252,1548,463,447.0,1
1,2.454266503036949e-252,1548,464,447.0,1
2,2.454266503036949e-252,1548,465,447.0,1
0,3.90779979257717e-223,2715,463,448.0,1
1,3.90779979257717e-223,2715,464,448.0,1
2,3.90779979257717e-223,2715,465,448.0,1
0,8.200219209330167e-233,1408,463,449.0,1
1,8.200219209330167e-233,1408,464,449.0,1
2,8.200219209330167e-233,1408,465,449.0,1
0,1.788939937362835e-202,3504,463,450.0,1
1,1.788939937362835e-202,3504,464,450.0,1
2,1.788939937362835e-202,3504,465,450.0,1
0,1.0196807220323052e-210,793,463,451.0,1
1,1.0196807220323052e-210,793,464,451.0,1
2,1.0196807220323052e-210,793,465,451.0,1
0,2.8022019466558196e-179,2653,463,452.0,1
1,2.8022019466558196e-179,2653,464,452.0,1
2,2.8022019466558196e-179,2653,465,452.0,1
0,1.8926901148686487e-150,3101,463,453.0,1
1,1.8926901148686487e-150,3101,464,453.0,1
2,1.8926901148686487e-150,3101,465,453.0,1
0,,1806,463,454.0,1
1,,1806,464,454.0,1
2,,1806,465,454.0,1
0,,4401,463,455.0,1
1,,4401,464,455.0,1
2,,4401,465,455.0,1
0,3.407291683147159e-161,3821,463,456.0,1
1,3.407291683147159e-161,3821,464,456.0,1
2,3.407291683147159e-161,3821,465,456.0,1
0,6.931853630238143e-61,2497,463,457.0,1
1,6.931853630238143e-61,2497,464,457.0,1
2,6.931853630238143e-61,2497,465,457.0,1
0,3.8001789690938065e-55,2739,463,458.0,1
1,3.8001789690938065e-55,2739,464,458.0,1
2,3.8001789690938065e-55,2739,465,458.0,1
0,2.029240700238291e-48,7719,463,459.0,1
1,2.029240700238291e-48,7719,464,459.0,1
2,2.029240700238291e-48,7719,465,459.0,1
0,3.537813387468262e-31,10373,463,460.0,1
1,3.537813387468262e-31,10373,464,460.0,1
2,3.537813387468262e-31,10373,465,460.0,1
0,8.332028458077504e-18,27081,463,461.0,1
1,8.332028458077504e-18,27081,464,461.0,1
2,8.332028458077504e-18,27081,465,461.0,1
0,2.808303508696052e-08,22943,463,462.0,1
1,2.808303508696052e-08,22943,464,462.0,1
2,2.808303508696052e-08,22943,465,462.0,1
0,0.014344302091276948,3712,463,463.0,1
1,0.014344302091276948,3712,464,463.0,1
2,0.014344302091276948,3712,465,463.0,1
0,1.1752358691491145,4296,463,464.0,1
1,1.1752358691491145,4296,464,464.0,1
2,1.1752358691491145,4296,465,464.0,1
0,0.016340092307303905,11214,463,465.0,1
1,0.016340092307303905,11214,464,465.0,1
2,0.016340092307303905,11214,465,465.0,1
0,1.3336444190737898e-06,4051,463,466.0,1
1,1.3336444190737898e-06,4051,464,466.0,1
2,1.3336444190737898e-06,4051,465,466.0,1
0,5.719453335107167e-14,2161,463,467.0,1
1,5.719453335107167e-14,2161,464,467.0,1
2,5.719453335107167e-14,2161,465,467.0,1
0,2.9360115813619207e-24,2782,463,468.0,1
1,2.9360115813619207e-24,2782,464,468.0,1
2,2.9360115813619207e-24,2782,465,468.0,1
0,1.8835925366241905e-37,6528,463,469.0,1
1,1.8835925366241905e-37,6528,464,469.0,1
2,1.8835925366241905e-37,6528,465,469.0,1
0,1.5762783440882247e-53,8386,463,470.0,1
1,1.5762783440882247e-53,8386,464,470.0,1
2,1.5762783440882247e-53,8386,465,470.0,1
0,1.7953182278452538e-72,618,463,471.0,1
1,1.7953182278452538e-72,618,464,471.0,1
2,1.7953182278452538e-72,618,465,471.0,1
0,2.9027846525602064e-94,1162,463,472.0,1
1,2.9027846525602064e-94,1162,464,472.0,1
2,2.9027846525602064e-94,1162,465,472.0,1
0,6.947253067553523e-119,692,463,473.0,1
1,6.947253067553523e-119,692,464,473.0,1
2,6.947253067553523e-119,692,465,473.0,1
0,2.565402999861828e-146,1859,463,474.0,1
1,2.565402999861828e-146,1859,464,474.0,1
2,2.565402999861828e-146,1859,465,474.0,1
0,1.5230776277583107e-176,24473,463,475.0,1
1,1.5230776277583107e-176,24473,464,475.0,1
2,1.5230776277583107e-176,24473,465,475.0,1
0,1.5144470284930898e-209,756,463,476.0,1
1,1.5144470284930898e-209,756,464,476.0,1
2,1.5144470284930898e-209,756,465,476.0,1
0,2.6263740082420976e-245,602,463,477.0,1
1,2.6263740082420976e-245,602,464,477.0,1
2,2.6263740082420976e-245,602,465,477.0,1
0,8.269872336717074e-284,2276,463,478.0,1
1,8.269872336717074e-284,2276,464,478.0,1
2,8.269872336717074e-284,2276,465,478.0,1
0,0.0,525,463,479.0,1
1,0.0,525,464,479.0,1
2,0.0,525,465,479.0,1
0,4.84115783443561e-299,4002,463,480.0,1
1,4.84115783443561e-299,4002,464,480.0,1
2,4.84115783443561e-299,4002,465,480.0,1
0,0.0,1490,463,481.0,1
1,0.0,1490,464,481.0,1
2,0.0,1490,465,481.0,1
0,0.0,713,463,482.0,1
1,0.0,713,464,482.0,1
2,0.0,713,465,482.0,1
0,0.0,0,463,483.0,1
1,0.0,0,464,483.0,1
2,0.0,0,465,483.0,1
0,0.0,512,463,484.0,1
1,0.0,512,464,484.0,1
2,0.0,512,465,484.0,1
0,0.0,863,463,485.0,1
1,0.0,863,464,485.0,1
2,0.0,863,465,485.0,1
0,0.0,394,463,486.0,1
1,0.0,394,464,486.0,1
2,0.0,394,465,486.0,1
0,0.0,4,463,487.0,1
1,0.0,4,464,487.0,1
2,0.0,4,465,487.0,1
0,0.0,2445,463,488.0,1
1,0.0,2445,464,488.0,1
2,0.0,2445,465,488.0,1
0,0.0,0,463,489.0,1
1,0.0,0,464,489.0,1
2,0.0,0,465,489.0,1
0,0.0,1138,463,490.0,1
1,0.0,1138,464,490.0,1
2,0.0,1138,465,490.0,1
0,0.0,0,463,491.0,1
1,0.0,0,464,491.0,1
2,0.0,0,465,491.0,1
0,0.0,339,463,492.0,1
1,0.0,339,464,492.0,1
2,0.0,339,465,492.0,1
0,0.0,0,463,493.0,1
1,0.0,0,464,493.0,1
2,0.0,0,465,493.0,1
0,0.0,109,463,494.0,1
1,0.0,109,464,494.0,1
2,0.0,109,465,494.0,1
0,0.0,555,463,495.0,1
1,0.0,555,464,495.0,1
2,0.0,555,465,495.0,1
0,0.0,0,463,496.0,1
1,0.0,0,464,496.0,1
2,0.0,0,465,496.0,1
0,0.0,0,463,497.0,1
1,0.0,0,464,497.0,1
2,0.0,0,465,497.0,1
0,0.0,0,463,498.0,1
1,0.0,0,464,498.0,1
2,0.0,0,465,498.0,1
0,0.0,0,463,499.0,1
1,0.0,0,464,499.0,1
2,0.0,0,465,499.0,1
0,0.0,2845,463,500.0,1
1,0.0,2845,464,500.0,1
2,0.0,2845,465,500.0,1
0,0.0,2800,463,505.0,1
1,0.0,2800,464,505.0,1
2,0.0,2800,465,505.0,1
0,0.0,257,463,510.0,1
1,0.0,257,464,510.0,1
2,0.0,257,465,510.0,1
0,0.0,1023,463,515.0,1
1,0.0,1023,464,515.0,1
2,0.0,1023,465,515.0,1
0,0.0,58,463,520.0,1
1,0.0,58,464,520.0,1
2,0.0,58,465,520.0,1
0,0.0,1,463,525.0,1
1,0.0,1,464,525.0,1
2,0.0,1,465,525.0,1
0,0.0,3,463,530.0,1
1,0.0,3,464,530.0,1
2,0.0,3,465,530.0,1
0,0.0,20,463,540.0,1
1,0.0,20,464,540.0,1
2,0.0,20,465,540.0,1
0,0.0,0,463,410.0,1
1,0.0,0,464,410.0,1
2,0.0,0,465,410.0,1
0,,0,463,420.0,1
1,,0,464,420.0,1
2,,0,465,420.0,1
0,,0,463,430.0,1
1,,0,464,430.0,1
2,,0,465,430.0,1
0,,0,463,440.0,1
1,,0,464,440.0,1
2,,0,465,440.0,1
0,,0,463,450.0,1
1,,0,464,450.0,1
2,,0,465,450.0,1
0,8.008492921955194e-13,0,463,451.0,1
1,8.008492921955194e-13,0,464,451.0,1
2,8.008492921955194e-13,0,465,451.0,1
0,,0,463,452.0,1
1,,0,464,452.0,1
2,,0,465,452.0,1
0,,0,463,453.0,1
1,,0,464,453.0,1
2,,0,465,453.0,1
0,1.7323550927215322e-305,0,463,454.0,1
1,1.7323550927215322e-305,0,464,454.0,1
2,1.7323550927215322e-305,0,465,454.0,1
0,4.703412852995119e-247,0,463,455.0,1
1,4.703412852995119e-247,0,464,455.0,1
2,4.703412852995119e-247,0,465,455.0,1
0,6.148106546622629e-195,0,463,456.0,1
1,6.148106546622629e-195,0,464,456.0,1
2,6.148106546622629e-195,0,465,456.0,1
0,9.32786443451346e-110,0,463,457.0,1
1,9.32786443451346e-110,0,464,457.0,1
2,9.32786443451346e-110,0,465,457.0,1
0,1.1675806161212285e-80,0,463,458.0,1
1,1.1675806161212285e-80,0,464,458.0,1
2,1.1675806161212285e-80,0,465,458.0,1
0,4.1070622159044135e-56,0,463,459.0,1
1,4.1070622159044135e-56,0,464,459.0,1
2,4.1070622159044135e-56,0,465,459.0,1
0,4.345914401862051e-36,0,463,460.0,1
1,4.345914401862051e-36,0,464,460.0,1
2,4.345914401862051e-36,0,465,460.0,1
0,1.4800191147683018e-20,0,463,461.0,1
1,1.4800191147683018e-20,0,464,461.0,1
2,1.4800191147683018e-20,0,465,461.0,1
0,1.7345543584701338e-09,0,463,462.0,1
1,1.7345543584701338e-09,0,464,462.0,1
2,1.7345543584701338e-09,0,465,462.0,1
0,0.007476713865109224,0,463,463.0,1
1,0.007476713865109224,0,464,463.0,1
2,0.007476713865109224,0,465,463.0,1
0,1.2661221283282031,0,463,464.0,1
1,1.2661221283282031,0,464,464.0,1
2,1.2661221283282031,0,465,464.0,1
0,0.00899282853422859,0,463,465.0,1
1,0.00899282853422859,0,464,465.0,1
2,0.00899282853422859,0,465,465.0,1
0,2.8586641346867794e-09,0,463,466.0,1
1,2.8586641346867794e-09,0,464,466.0,1
2,2.8586641346867794e-09,0,465,466.0,1
0,1.3860437764223048e-15,0,463,467.0,1
